order_item_id,order_id,product_id,quantity,unit_price_at_purchase
OI0000116,ORD004653,P0009,1,
OI0000117,ORD004653,P0019,1,
OI0000118,ORD003106,P0007,1,
OI0000119,ORD003106,P0026,1,
OI0000120,ORD003106,P0016,2,
OI0000121,ORD003430,P0012,2,
OI0000122,ORD003430,P0019,1,
OI0000123,ORD000732,P0021,1,
OI0000124,ORD001517,P0020,1,
OI0000125,ORD001517,P0003,1,
OI0000126,ORD001517,P0011,1,
OI0000127,ORD004072,P0017,1,
OI0000128,ORD000201,P0021,2,
OI0000129,ORD000201,P0010,2,
OI0000130,ORD001853,P0010,2,
OI0000131,ORD001853,P0022,1,
OI0000132,ORD000471,P0019,1,
OI0000133,ORD002937,P0026,1,
OI0000134,ORD002937,P0001,2,
OI0000135,ORD000895,P0005,1,
OI0000136,ORD000895,P0010,1,
OI0000137,ORD000895,P0008,3,
OI0000138,ORD001860,P0005,1,
OI0000139,ORD004164,P0024,1,
OI0000140,ORD004335,P0023,2,
OI0000141,ORD004335,P0004,1,
OI0000142,ORD000343,P0015,1,
OI0000143,ORD004575,P0014,1,
OI0000144,ORD004575,P0003,1,
OI0000145,ORD004575,P0011,2,
OI0000146,ORD004575,P0008,1,
OI0000147,ORD000730,P0005,2,
OI0000148,ORD000730,P0005,1,
OI0000149,ORD000730,P0023,3,
OI0000150,ORD000493,P0002,1,
OI0000151,ORD000493,P0007,2,
OI0000152,ORD004774,P0014,1,
OI0000153,ORD004774,P0020,2,
OI0000154,ORD000529,P0020,1,
OI0000155,ORD000529,P0005,1,
OI0000156,ORD000529,P0009,2,
OI0000157,ORD004732,P0020,1,
OI0000158,ORD003494,P0003,1,
OI0000159,ORD003494,P0013,3,
OI0000160,ORD003494,P0014,2,
OI0000161,ORD000125,P0002,1,
OI0000162,ORD000125,P0013,1,
OI0000163,ORD000125,P0025,1,
OI0000164,ORD002969,P0026,2,
OI0000165,ORD002969,P0024,3,
OI0000166,ORD003767,P0011,1,
OI0000167,ORD003767,P0025,1,
OI0000168,ORD002738,P0013,2,
OI0000169,ORD002738,P0009,2,
OI0000170,ORD000511,P0007,3,
OI0000171,ORD000438,P0018,1,
OI0000172,ORD000438,P0006,2,
OI0000173,ORD000438,P0011,1,
OI0000174,ORD000429,P0026,3,
OI0000175,ORD000429,P0025,1,
OI0000176,ORD000429,P0022,1,
OI0000177,ORD000429,P0018,1,
OI0000178,ORD002627,P0018,1,
OI0000179,ORD002627,P0001,1,
OI0000180,ORD004027,P0003,1,
OI0000181,ORD004027,P0012,1,
OI0000182,ORD004027,P0024,2,
OI0000183,ORD004027,P0003,1,
OI0000184,ORD003318,P0007,1,
OI0000185,ORD003318,P0003,1,
OI0000186,ORD001701,P0017,1,
OI0000187,ORD001701,P0019,2,
OI0000188,ORD002772,P0023,1,
OI0000189,ORD003211,P0008,1,
OI0000190,ORD002127,P0017,1,
OI0000191,ORD002316,P0017,1,
OI0000192,ORD002316,P0004,2,
OI0000193,ORD002316,P0018,1,
OI0000194,ORD003038,P0019,1,
OI0000195,ORD001443,P0008,1,
OI0000196,ORD000382,P0004,3,
OI0000197,ORD001448,P0003,1,
OI0000198,ORD001448,P0004,1,
OI0000199,ORD002285,P0011,1,
OI0000200,ORD002285,P0005,1,
OI0000201,ORD004363,P0021,1,
OI0000202,ORD001180,P0014,2,
OI0000203,ORD001928,P0026,2,
OI0000204,ORD000336,P0023,2,
OI0000205,ORD003024,P0006,1,
OI0000206,ORD000218,P0011,3,
OI0000207,ORD000218,P0023,3,
OI0000208,ORD004668,P0011,3,
OI0000209,ORD001405,P0004,1,
OI0000210,ORD003456,P0014,1,
OI0000211,ORD004324,P0011,2,
OI0000212,ORD004594,P0013,1,
OI0000213,ORD002044,P0017,1,
OI0000214,ORD002044,P0005,2,
OI0000215,ORD002044,P0009,1,
OI0000216,ORD004763,P0019,1,
OI0000217,ORD001054,P0013,1,
OI0000218,ORD004752,P0024,1,
OI0000219,ORD004752,P0002,2,
OI0000220,ORD004752,P0004,2,
OI0000221,ORD004752,P0009,1,
OI0000222,ORD005003,P0007,1,
OI0000223,ORD005003,P0006,1,
OI0000224,ORD000326,P0004,2,
OI0000225,ORD000326,P0006,1,
OI0000226,ORD000326,P0020,1,
OI0000227,ORD000326,P0014,1,
OI0000228,ORD002591,P0006,1,
OI0000229,ORD004236,P0020,1,
OI0000230,ORD004236,P0026,1,
OI0000231,ORD004236,P0009,1,
OI0000232,ORD002113,P0006,2,
OI0000233,ORD003344,P0012,1,
OI0000234,ORD003344,P0025,1,
OI0000235,ORD002871,P0008,1,
OI0000236,ORD002871,P0019,1,
OI0000237,ORD003140,P0016,2,
OI0000238,ORD003057,P0003,1,
OI0000239,ORD003057,P0006,-1,
OI0000240,ORD003057,P0013,1,
OI0000241,ORD002617,P0009,1,
OI0000242,ORD002617,P0013,3,
OI0000243,ORD002617,P0012,2,
OI0000244,ORD004300,P0020,3,
OI0000245,ORD004300,P0014,1,
OI0000246,ORD004759,P0012,1,
OI0000247,ORD004759,P0013,2,
OI0000248,ORD003600,P0015,2,
OI0000249,ORD004612,P0013,1,
OI0000250,ORD004612,P0011,1,
OI0000251,ORD004612,P0011,1,
OI0000252,ORD003125,P0014,1,
OI0000253,ORD003125,P0021,2,
OI0000254,ORD004585,P0024,1,
OI0000255,ORD004585,P0010,1,
OI0000256,ORD004585,P0023,2,
OI0000257,ORD001000,P0005,1,
OI0000258,ORD001000,P0011,1,
OI0000259,ORD001000,P0006,1,
OI0000260,ORD002403,P0014,3,
OI0000261,ORD002403,P0024,1,
OI0000262,ORD001514,P0007,3,
OI0000263,ORD003668,P0017,2,
OI0000264,ORD003668,P0008,1,
OI0000265,ORD003815,P0013,2,
OI0000266,ORD003815,P0005,1,
OI0000267,ORD000765,P0020,1,
OI0000268,ORD000765,P0025,1,
OI0000269,ORD004624,P0012,2,
OI0000270,ORD003725,P0004,1,
OI0000271,ORD003725,P0026,1,
OI0000272,ORD001492,P0001,1,
OI0000273,ORD000263,P0005,1,
OI0000274,ORD000311,P0025,1,
OI0000275,ORD001532,P0014,2,
OI0000276,ORD001532,P0018,3,
OI0000277,ORD001089,P0013,2,
OI0000278,ORD001089,P0019,1,
OI0000279,ORD001089,P0005,3,
OI0000280,ORD003701,P0007,1,
OI0000281,ORD001883,P0013,1,
OI0000282,ORD001883,P0021,1,
OI0000283,ORD000197,P0021,1,
OI0000284,ORD000197,P0023,1,
OI0000285,ORD000159,P0007,1,
OI0000286,ORD000426,P0019,2,
OI0000287,ORD000426,P0019,1,
OI0000288,ORD004015,P0019,1,
OI0000289,ORD000784,P0022,1,
OI0000290,ORD002318,P0013,2,
OI0000291,ORD002318,P0019,1,
OI0000292,ORD003566,P0022,1,
OI0000293,ORD001476,P0007,1,
OI0000294,ORD001476,P0020,1,
OI0000295,ORD002951,P0006,1,
OI0000296,ORD003023,P0013,2,
OI0000297,ORD003387,P0024,1,
OI0000298,ORD003387,P0025,2,
OI0000299,ORD002642,P0009,1,
OI0000300,ORD002981,P0016,1,
OI0000301,ORD004981,P0018,2,
OI0000302,ORD004981,P0010,1,
OI0000303,ORD003703,P0009,1,
OI0000304,ORD003703,P0002,3,
OI0000305,ORD001171,P0007,1,
OI0000306,ORD004905,P0003,1,
OI0000307,ORD004905,P0001,3,
OI0000308,ORD004905,P0019,1,
OI0000309,ORD004205,P0025,1,
OI0000310,ORD004205,P0010,1,
OI0000311,ORD003999,P0002,1,
OI0000312,ORD003999,P0018,2,
OI0000313,ORD003999,P0014,2,
OI0000314,ORD004782,P0018,-1,
OI0000315,ORD002648,P0020,1,
OI0000316,ORD001014,P0025,1,
OI0000317,ORD003838,P0011,1,
OI0000318,ORD003838,P0009,2,
OI0000319,ORD004956,P0007,1,
OI0000320,ORD004056,P0022,1,
OI0000321,ORD000523,P0004,1,
OI0000322,ORD000523,P0018,1,
OI0000323,ORD000523,P0003,1,
OI0000324,ORD002361,P0003,2,
OI0000325,ORD002361,P0004,1,
OI0000326,ORD002361,P0005,2,
OI0000327,ORD003058,P0001,-1,
OI0000328,ORD003058,P0010,3,
OI0000329,ORD001025,P0017,1,
OI0000330,ORD002046,P0004,1,
OI0000331,ORD001620,P0010,1,
OI0000332,ORD001620,P0016,3,
OI0000333,ORD001620,P0003,2,
OI0000334,ORD002761,P0016,2,
OI0000335,ORD002761,P0012,1,
OI0000336,ORD002761,P0010,2,
OI0000337,ORD002761,P0007,1,
OI0000338,ORD000906,P0003,1,
OI0000339,ORD000906,P0021,1,
OI0000340,ORD002270,P0013,1,
OI0000341,ORD002443,P0008,1,
OI0000342,ORD000284,P0002,1,
OI0000343,ORD004885,P0007,1,
OI0000344,ORD004885,P0014,1,
OI0000345,ORD004885,P0014,3,
OI0000346,ORD001593,P0018,1,
OI0000347,ORD002860,P0011,1,
OI0000348,ORD001843,P0003,1,
OI0000349,ORD001843,P0021,1,
OI0000350,ORD000477,P0023,1,
OI0000351,ORD000477,P0018,1,
OI0000352,ORD000477,P0020,1,
OI0000353,ORD001281,P0014,1,
OI0000354,ORD001281,P0010,1,
OI0000355,ORD001281,P0020,1,
OI0000356,ORD004074,P0019,-1,
OI0000357,ORD000140,P0015,1,
OI0000358,ORD004328,P0012,1,
OI0000359,ORD004133,P0006,1,
OI0000360,ORD004133,P0024,1,
OI0000361,ORD004133,P0005,1,
OI0000362,ORD004873,P0013,1,
OI0000363,ORD004873,P0009,1,
OI0000364,ORD001736,P0010,2,
OI0000365,ORD004957,P0008,1,
OI0000366,ORD002697,P0014,2,
OI0000367,ORD002697,P0009,1,
OI0000368,ORD001185,P0026,1,
OI0000369,ORD001070,P0014,1,
OI0000370,ORD001070,P0020,1,
OI0000371,ORD001070,P0009,-1,
OI0000372,ORD001070,P0026,2,
OI0000373,ORD004174,P0001,1,
OI0000374,ORD004174,P0006,1,
OI0000375,ORD003441,P0026,1,
OI0000376,ORD002448,P0005,1,
OI0000377,ORD004301,P0018,1,
OI0000378,ORD002102,P0007,1,
OI0000379,ORD000119,P0002,1,
OI0000380,ORD000119,P0003,1,
OI0000381,ORD004337,P0020,2,
OI0000382,ORD003321,P0004,2,
OI0000383,ORD003321,P0008,1,
OI0000384,ORD003321,P0001,2,
OI0000385,ORD004869,P0011,3,
OI0000386,ORD002728,P0006,2,
OI0000387,ORD002728,P0017,1,
OI0000388,ORD002728,P0001,2,
OI0000389,ORD004112,P0023,3,
OI0000390,ORD003012,P0002,1,
OI0000391,ORD004440,P0005,3,
OI0000392,ORD003582,P0010,1,
OI0000393,ORD002401,P0011,1,
OI0000394,ORD002401,P0003,1,
OI0000395,ORD002401,P0025,1,
OI0000396,ORD000998,P0004,3,
OI0000397,ORD000998,P0009,1,
OI0000398,ORD000181,P0010,2,
OI0000399,ORD000181,P0021,1,
OI0000400,ORD000650,P0017,1,
OI0000401,ORD001431,P0013,1,
OI0000402,ORD002149,P0018,1,
OI0000403,ORD002149,P0001,1,
OI0000404,ORD002149,P0008,1,
OI0000405,ORD002149,P0019,2,
OI0000406,ORD000716,P0022,1,
OI0000407,ORD002298,P0008,2,
OI0000408,ORD004854,P0011,2,
OI0000409,ORD004854,P0018,1,
OI0000410,ORD002536,P0012,1,
OI0000411,ORD004876,P0018,2,
OI0000412,ORD004876,P0006,1,
OI0000413,ORD001355,P0020,3,
OI0000414,ORD001355,P0019,1,
OI0000415,ORD001355,P0023,1,
OI0000416,ORD003215,P0026,1,
OI0000417,ORD003215,P0001,1,
OI0000418,ORD000190,P0014,1,
OI0000419,ORD003797,P0012,1,
OI0000420,ORD003797,P0002,1,
OI0000421,ORD003694,P0003,3,
OI0000422,ORD000731,P0010,1,
OI0000423,ORD000731,P0018,1,
OI0000424,ORD000047,P0017,1,
OI0000425,ORD000047,P0016,2,
OI0000426,ORD000785,P0020,2,
OI0000427,ORD002892,P0025,2,
OI0000428,ORD002158,P0026,2,
OI0000429,ORD003986,P0024,1,
OI0000430,ORD003354,P0017,1,
OI0000431,ORD002883,P0023,1,
OI0000432,ORD001873,P0008,3,
OI0000433,ORD003630,P0018,1,
OI0000434,ORD003927,P0019,3,
OI0000435,ORD003927,P0013,1,
OI0000436,ORD003927,P0016,1,
OI0000437,ORD003824,P0006,1,
OI0000438,ORD002621,P0007,1,
OI0000439,ORD002621,P0005,1,
OI0000440,ORD002621,P0011,1,
OI0000441,ORD002621,P0010,1,
OI0000442,ORD003762,P0011,1,
OI0000443,ORD003762,P0026,1,
OI0000444,ORD003762,P0013,1,
OI0000445,ORD004243,P0005,1,
OI0000446,ORD004243,P0013,1,
OI0000447,ORD004243,P0023,1,
OI0000448,ORD003690,P0016,1,
OI0000449,ORD003771,P0005,1,
OI0000450,ORD002421,P0025,1,
OI0000451,ORD000499,P0019,1,
OI0000452,ORD000499,P0013,1,
OI0000453,ORD003622,P0001,1,
OI0000454,ORD003622,P0005,2,
OI0000455,ORD003622,P0025,1,
OI0000456,ORD004050,P0019,1,
OI0000457,ORD004050,P0002,1,
OI0000458,ORD004050,P0025,3,
OI0000459,ORD001373,P0002,1,
OI0000460,ORD001877,P0019,1,
OI0000461,ORD000365,P0008,1,
OI0000462,ORD000111,P0001,1,
OI0000463,ORD000111,P0001,1,
OI0000464,ORD004409,P0004,1,
OI0000465,ORD002101,P0023,2,
OI0000466,ORD002499,P0017,2,
OI0000467,ORD003590,P0001,2,
OI0000468,ORD003590,P0019,-1,
OI0000469,ORD003121,P0001,1,
OI0000470,ORD002830,P0007,1,
OI0000471,ORD002830,P0008,1,
OI0000472,ORD004828,P0015,3,
OI0000473,ORD004828,P0018,2,
OI0000474,ORD004940,P0015,2,
OI0000475,ORD004091,P0026,2,
OI0000476,ORD003026,P0012,1,
OI0000477,ORD003026,P0020,1,
OI0000478,ORD003026,P0004,3,
OI0000479,ORD000622,P0014,3,
OI0000480,ORD000622,P0023,1,
OI0000481,ORD000622,P0002,1,
OI0000482,ORD000622,P0022,1,
OI0000483,ORD002507,P0005,1,
OI0000484,ORD000132,P0023,1,
OI0000485,ORD000132,P0016,1,
OI0000486,ORD004035,P0024,1,
OI0000487,ORD003739,P0022,1,
OI0000488,ORD004519,P0015,1,
OI0000489,ORD004519,P0021,2,
OI0000490,ORD004030,P0008,1,
OI0000491,ORD000360,P0018,1,
OI0000492,ORD000268,P0013,2,
OI0000493,ORD000268,P0017,2,
OI0000494,ORD000268,P0021,1,
OI0000495,ORD000952,P0003,1,
OI0000496,ORD000952,P0005,1,
OI0000497,ORD000952,P0007,1,
OI0000498,ORD002230,P0015,2,
OI0000499,ORD002230,P0025,3,
OI0000500,ORD003077,P0023,1,
OI0000501,ORD003077,P0008,2,
OI0000502,ORD003939,P0014,1,
OI0000503,ORD000653,P0013,1,
OI0000504,ORD000653,P0007,1,
OI0000505,ORD003633,P0023,1,
OI0000506,ORD003633,P0016,1,
OI0000507,ORD003633,P0007,2,
OI0000508,ORD003633,P0016,1,
OI0000509,ORD000294,P0011,2,
OI0000510,ORD000294,P0017,1,
OI0000511,ORD000294,P0004,1,
OI0000512,ORD003197,P0013,2,
OI0000513,ORD003197,P0006,2,
OI0000514,ORD003197,P0013,1,
OI0000515,ORD002637,P0008,2,
OI0000516,ORD002637,P0012,1,
OI0000517,ORD002637,P0005,1,
OI0000518,ORD003159,P0012,1,
OI0000519,ORD003583,P0012,1,
OI0000520,ORD003391,P0020,1,
OI0000521,ORD003391,P0014,1,
OI0000522,ORD000913,P0014,1,
OI0000523,ORD004851,P0010,2,
OI0000524,ORD004851,P0004,1,
OI0000525,ORD004851,P0014,1,
OI0000526,ORD004755,P0019,1,
OI0000527,ORD004755,P0019,1,
OI0000528,ORD004755,P0013,1,
OI0000529,ORD004755,P0011,2,
OI0000530,ORD002520,P0014,2,
OI0000531,ORD002520,P0025,1,
OI0000532,ORD003283,P0020,3,
OI0000533,ORD003530,P0020,1,
OI0000534,ORD003530,P0025,1,
OI0000535,ORD000894,P0005,1,
OI0000536,ORD001646,P0026,1,
OI0000537,ORD003100,P0026,1,
OI0000538,ORD003355,P0023,3,
OI0000539,ORD001823,P0001,1,
OI0000540,ORD001823,P0012,3,
OI0000541,ORD002866,P0005,1,
OI0000542,ORD002659,P0021,1,
OI0000543,ORD000216,P0020,1,
OI0000544,ORD000233,P0022,2,
OI0000545,ORD004226,P0025,1,
OI0000546,ORD004226,P0015,1,
OI0000547,ORD004226,P0005,1,
OI0000548,ORD004107,P0009,1,
OI0000549,ORD004107,P0023,3,
OI0000550,ORD002481,P0015,1,
OI0000551,ORD002481,P0007,1,
OI0000552,ORD003895,P0026,3,
OI0000553,ORD001502,P0004,1,
OI0000554,ORD000223,P0005,1,
OI0000555,ORD000223,P0002,2,
OI0000556,ORD004322,P0017,3,
OI0000557,ORD004322,P0005,1,
OI0000558,ORD000677,P0018,1,
OI0000559,ORD000677,P0025,1,
OI0000560,ORD000677,P0015,1,
OI0000561,ORD000677,P0013,1,
OI0000562,ORD001885,P0023,1,
OI0000563,ORD004341,P0021,1,
OI0000564,ORD004341,P0007,1,
OI0000565,ORD000578,P0009,1,
OI0000566,ORD000578,P0010,2,
OI0000567,ORD004185,P0001,1,
OI0000568,ORD004185,P0012,3,
OI0000569,ORD001595,P0002,1,
OI0000570,ORD001595,P0007,1,
OI0000571,ORD000541,P0003,3,
OI0000572,ORD000541,P0007,1,
OI0000573,ORD003315,P0001,1,
OI0000574,ORD003315,P0011,1,
OI0000575,ORD003315,P0004,1,
OI0000576,ORD003315,P0026,2,
OI0000577,ORD003937,P0021,1,
OI0000578,ORD003937,P0002,1,
OI0000579,ORD003937,P0017,2,
OI0000580,ORD000148,P0024,1,
OI0000581,ORD000148,P0009,1,
OI0000582,ORD004962,P0008,1,
OI0000583,ORD001708,P0011,1,
OI0000584,ORD001708,P0007,2,
OI0000585,ORD001708,P0007,1,
OI0000586,ORD003789,P0021,1,
OI0000587,ORD002494,P0017,1,
OI0000588,ORD001284,P0004,3,
OI0000589,ORD001284,P0017,3,
OI0000590,ORD003873,P0016,2,
OI0000591,ORD001551,P0003,3,
OI0000592,ORD000550,P0015,2,
OI0000593,ORD001481,P0020,1,
OI0000594,ORD004218,P0016,2,
OI0000595,ORD004218,P0014,1,
OI0000596,ORD000194,P0014,-1,
OI0000597,ORD000194,P0017,3,
OI0000598,ORD000194,P0004,1,
OI0000599,ORD003820,P0013,1,
OI0000600,ORD003820,P0019,2,
OI0000601,ORD003820,P0017,1,
OI0000602,ORD001067,P0016,2,
OI0000603,ORD004672,P0011,3,
OI0000604,ORD004672,P0018,1,
OI0000605,ORD004672,P0007,1,
OI0000606,ORD002663,P0012,1,
OI0000607,ORD002338,P0012,1,
OI0000608,ORD001625,P0019,1,
OI0000609,ORD001625,P0025,2,
OI0000610,ORD001625,P0006,1,
OI0000611,ORD001625,P0013,1,
OI0000612,ORD004618,P0025,2,
OI0000613,ORD002791,P0022,1,
OI0000614,ORD001801,P0014,1,
OI0000615,ORD001801,P0020,2,
OI0000616,ORD001801,P0001,2,
OI0000617,ORD000458,P0026,1,
OI0000618,ORD004131,P0015,1,
OI0000619,ORD004131,P0025,1,
OI0000620,ORD004131,P0019,1,
OI0000621,ORD002905,P0003,1,
OI0000622,ORD002872,P0006,1,
OI0000623,ORD002872,P0017,1,
OI0000624,ORD000260,P0008,1,
OI0000625,ORD000213,P0001,1,
OI0000626,ORD000213,P0019,3,
OI0000627,ORD000213,P0005,2,
OI0000628,ORD001297,P0025,2,
OI0000629,ORD001297,P0018,2,
OI0000630,ORD001706,P0026,1,
OI0000631,ORD001706,P0015,3,
OI0000632,ORD001706,P0025,1,
OI0000633,ORD001706,P0025,1,
OI0000634,ORD003587,P0024,1,
OI0000635,ORD004900,P0001,2,
OI0000636,ORD003004,P0003,1,
OI0000637,ORD002407,P0009,1,
OI0000638,ORD000253,P0007,2,
OI0000639,ORD000759,P0022,1,
OI0000640,ORD004023,P0016,1,
OI0000641,ORD004023,P0020,2,
OI0000642,ORD004438,P0004,1,
OI0000643,ORD004438,P0019,1,
OI0000644,ORD004438,P0004,1,
OI0000645,ORD000771,P0025,1,
OI0000646,ORD000818,P0002,1,
OI0000647,ORD003299,P0008,1,
OI0000648,ORD004482,P0020,2,
OI0000649,ORD002223,P0010,3,
OI0000650,ORD002223,P0022,1,
OI0000651,ORD002223,P0023,1,
OI0000652,ORD002454,P0023,1,
OI0000653,ORD002454,P0003,1,
OI0000654,ORD003208,P0020,2,
OI0000655,ORD003328,P0010,1,
OI0000656,ORD002705,P0004,1,
OI0000657,ORD002297,P0003,3,
OI0000658,ORD002297,P0011,1,
OI0000659,ORD003586,P0013,2,
OI0000660,ORD001247,P0001,1,
OI0000661,ORD001118,P0019,2,
OI0000662,ORD002099,P0011,1,
OI0000663,ORD002099,P0018,3,
OI0000664,ORD002099,P0007,1,
OI0000665,ORD002023,P0007,1,
OI0000666,ORD002023,P0003,1,
OI0000667,ORD003275,P0016,1,
OI0000668,ORD003275,P0009,1,
OI0000669,ORD003597,P0014,-1,
OI0000670,ORD003597,P0013,2,
OI0000671,ORD002542,P0005,1,
OI0000672,ORD000395,P0016,1,
OI0000673,ORD000395,P0022,1,
OI0000674,ORD000395,P0012,1,
OI0000675,ORD002824,P0018,1,
OI0000676,ORD000224,P0006,-1,
OI0000677,ORD000224,P0016,1,
OI0000678,ORD002757,P0002,1,
OI0000679,ORD003733,P0001,1,
OI0000680,ORD003733,P0022,1,
OI0000681,ORD003063,P0026,1,
OI0000682,ORD003063,P0003,1,
OI0000683,ORD002653,P0007,2,
OI0000684,ORD003935,P0021,1,
OI0000685,ORD004441,P0024,1,
OI0000686,ORD004441,P0008,1,
OI0000687,ORD003882,P0007,1,
OI0000688,ORD003882,P0023,2,
OI0000689,ORD001814,P0003,3,
OI0000690,ORD001814,P0002,2,
OI0000691,ORD001814,P0019,1,
OI0000692,ORD004645,P0003,1,
OI0000693,ORD004645,P0017,1,
OI0000694,ORD002354,P0018,3,
OI0000695,ORD002354,P0006,1,
OI0000696,ORD002354,P0008,1,
OI0000697,ORD004863,P0018,2,
OI0000698,ORD004613,P0022,1,
OI0000699,ORD004352,P0009,2,
OI0000700,ORD000574,P0003,1,
OI0000701,ORD002464,P0021,1,
OI0000702,ORD004830,P0005,1,
OI0000703,ORD000798,P0025,1,
OI0000704,ORD001204,P0009,2,
OI0000705,ORD001204,P0001,2,
OI0000706,ORD001204,P0023,1,
OI0000707,ORD002516,P0003,1,
OI0000708,ORD002516,P0012,1,
OI0000709,ORD002516,P0007,1,
OI0000710,ORD002725,P0020,1,
OI0000711,ORD001038,P0020,1,
OI0000712,ORD001038,P0005,1,
OI0000713,ORD000254,P0010,1,
OI0000714,ORD004791,P0014,2,
OI0000715,ORD000627,P0024,1,
OI0000716,ORD002942,P0023,2,
OI0000717,ORD002963,P0005,1,
OI0000718,ORD001498,P0014,3,
OI0000719,ORD001498,P0014,1,
OI0000720,ORD001498,P0022,1,
OI0000721,ORD001498,P0001,1,
OI0000722,ORD001607,P0026,1,
OI0000723,ORD001607,P0015,3,
OI0000724,ORD001607,P0006,1,
OI0000725,ORD003446,P0015,1,
OI0000726,ORD003320,P0023,1,
OI0000727,ORD002433,P0013,-1,
OI0000728,ORD004060,P0021,1,
OI0000729,ORD000807,P0020,1,
OI0000730,ORD000807,P0010,1,
OI0000731,ORD004874,P0018,1,
OI0000732,ORD003632,P0016,1,
OI0000733,ORD003632,P0014,1,
