Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Product Name,Price,Quantity,Discount,total_amount
102,ORD-1102,2023-08-20,2023-08-24,First Class,CUST-145,Home Office,East,Washington,Technology,Machines,Machines Item 34,$286.47,6,0.3,"$1,718.79"
92,ORD-1092,2023-08-28,2023-09-03,Same Day,CUST-183,Home Office,South,Florida,Office Supplies,Fasteners,Fasteners Item 41,$30.73,8,0,$245.84
256,ORD-1256,2023-09-09,2023-09-12,First Class,CUST-165,Corporate,East,Georgia,Office Supplies,Envelopes,Envelopes Item 4,$421.70,2,0,$843.40
169,ORD-1169,2023-04-23,2023-04-26,Standard Class,CUST-121,Corporate,West,Ohio,Office Supplies,Art,Art Item 38,$68.93,7,0,$482.51
19,ORD-1019,2023-08-30,2023-09-01,Second Class,CUST-109,Consumer,East,Pennsylvania,Furniture,Tables,Tables Item 9,$509.12,8,0.15,"$4,072.96"
81,ORD-1081,2023-04-09,2023-04-11,First Class,CUST-180,Home Office,South,Washington,Furniture,Chairs,Chairs Item 33,$369.93,7,0.2,"$2,589.51"
75,ORD-1075,2023-06-09,2023-06-15,Second Class,CUST-182,Corporate,Central,Pennsylvania,Office Supplies,Binders,Binders Item 8,$332.06,6,0,"$1,992.36"
240,ORD-1240,2023-02-14,2023-02-20,Same Day,CUST-190,Consumer,South,Arizona,Technology,Phones,Phones Item 23,$482.67,2,0.1,$965.34
56,ORD-1056,2023-01-02,2023-01-08,First Class,CUST-191,Corporate,West,Illinois,Technology,Machines,Machines Item 43,$351.84,1,0,$351.84
151,ORD-1151,2023-03-04,2023-03-05,First Class,CUST-126,Home Office,West,Illinois,Office Supplies,Fasteners,Fasteners Item 15,$372.41,8,0.3,"$2,979.28"
207,ORD-1207,2023-12-07,2023-12-08,Same Day,CUST-118,Consumer,South,Florida,Technology,Phones,Phones Item 46,$297.32,6,0.15,"$1,783.92"
232,ORD-1232,2023-05-13,2023-05-20,First Class,CUST-103,Consumer,West,Georgia,Technology,Accessories,Accessories Item 26,$446.23,7,0,"$3,123.61"
223,ORD-1223,2023-07-16,2023-07-22,Same Day,CUST-189,Corporate,Central,Ohio,Office Supplies,Paper,Paper Item 33,$477.48,5,0.3,"$2,387.40"
239,ORD-1239,2023-01-27,2023-01-29,Second Class,CUST-104,Home Office,East,Washington,Furniture,Bookcases,Bookcases Item 16,$341.93,5,0.2,"$1,709.65"
241,ORD-1241,2023-01-17,2023-01-23,Same Day,CUST-171,Corporate,Central,New York,Office Supplies,Fasteners,Fasteners Item 6,$134.13,3,0.1,$402.39
23,ORD-1023,2023-09-01,2023-09-06,Same Day,CUST-126,Consumer,South,Pennsylvania,Furniture,Chairs,Chairs Item 37,$423.68,3,0,"$1,271.04"
146,ORD-1146,2023-02-03,2023-02-08,First Class,CUST-181,Corporate,West,Arizona,Technology,Phones,Phones Item 23,$491.30,6,0.2,"$2,947.80"
259,ORD-1259,2023-10-02,2023-10-06,Same Day,CUST-139,Corporate,West,Arizona,Technology,Phones,Phones Item 12,$286.47,7,0.2,"$2,005.26"
254,ORD-1254,2023-01-14,2023-01-19,Standard Class,CUST-184,Consumer,South,New York,Furniture,Bookcases,Bookcases Item 27,$393.16,4,0.1,"$1,572.64"
174,ORD-1174,2023-05-08,2023-05-12,Same Day,CUST-136,Home Office,Central,California,Furniture,Bookcases,Bookcases Item 27,$175.85,4,0.1,$703.40
281,ORD-1281,2023-06-25,2023-06-28,Second Class,CUST-154,Corporate,West,Ohio,Office Supplies,Labels,Labels Item 37,$44.96,6,0.2,$269.76
98,ORD-1098,2023-01-31,2023-02-01,Standard Class,CUST-119,Corporate,West,Florida,Furniture,Tables,Tables Item 23,$350.46,8,0,"$2,803.68"
298,ORD-1298,2023-05-28,2023-05-31,Second Class,CUST-119,Home Office,South,New York,Furniture,Chairs,Chairs Item 10,$372.45,3,0,"$1,117.35"
226,ORD-1226,2023-03-13,2023-03-19,Same Day,CUST-181,Home Office,East,Ohio,Office Supplies,Paper,Paper Item 44,$489.88,2,0,$979.76
263,ORD-1263,2023-02-22,2023-02-23,Second Class,CUST-100,Corporate,Central,Florida,Technology,Phones,Phones Item 39,$404.47,6,0,"$2,426.82"
105,ORD-1105,2023-04-07,2023-04-11,First Class,CUST-130,Consumer,West,Georgia,Office Supplies,Art,Art Item 6,$213.94,7,0,"$1,497.58"
182,ORD-1182,2023-04-30,2023-05-04,Second Class,CUST-147,Consumer,East,Arizona,Office Supplies,Supplies,Supplies Item 20,$221.05,7,0.15,"$1,547.35"
95,ORD-1095,2023-06-13,2023-06-16,Same Day,CUST-126,Corporate,East,Georgia,Office Supplies,Labels,Labels Item 10,$50.31,6,0,$301.86
244,ORD-1244,2023-05-24,2023-05-27,Standard Class,CUST-161,Corporate,Central,Texas,Furniture,Bookcases,Bookcases Item 50,$55.22,5,0,$276.10
25,ORD-1025,2023-03-15,2023-03-22,Second Class,CUST-127,Corporate,South,Arizona,Office Supplies,Storage,Storage Item 13,$515.08,2,0,"$1,030.16"
87,ORD-1087,2023-07-08,2023-07-14,Standard Class,CUST-192,Corporate,East,New York,Technology,Machines,Machines Item 44,$66.30,5,0.2,$331.50
279,ORD-1279,2023-08-11,2023-08-18,Second Class,CUST-101,Consumer,East,Washington,Technology,Phones,Phones Item 48,$10.58,7,0.2,$74.06
155,ORD-1155,2023-10-24,2023-10-27,First Class,CUST-123,Corporate,East,Arizona,Technology,Accessories,Accessories Item 47,$464.45,8,0.3,"$3,715.60"
63,ORD-1063,2023-06-16,2023-06-18,Same Day,CUST-111,Home Office,South,Washington,Technology,Phones,Phones Item 38,$347.99,1,0.2,$347.99
287,ORD-1287,2023-04-02,2023-04-07,Same Day,CUST-111,Corporate,East,Ohio,Office Supplies,Supplies,Supplies Item 25,$81.33,3,0,$243.99
79,ORD-1079,2023-04-30,2023-05-01,First Class,CUST-172,Consumer,East,New York,Office Supplies,Art,Art Item 24,$86.27,3,0,$258.81
112,ORD-1112,2023-11-24,2023-11-30,First Class,CUST-182,Consumer,Central,Illinois,Technology,Phones,Phones Item 46,$252.13,8,0.15,"$2,017.04"
51,ORD-1051,2023-03-03,2023-03-05,Same Day,CUST-154,Consumer,South,New York,Technology,Accessories,Accessories Item 24,$289.36,6,0.2,"$1,736.16"
175,ORD-1175,2023-11-05,2023-11-06,Standard Class,CUST-100,Consumer,West,Washington,Technology,Accessories,Accessories Item 45,$356.87,7,0,"$2,498.09"
127,ORD-1127,2023-07-04,2023-07-08,Same Day,CUST-118,Corporate,Central,Florida,Technology,Machines,Machines Item 20,$75.59,3,0,$226.77
126,ORD-1126,2023-08-18,2023-08-21,Second Class,CUST-130,Corporate,South,Washington,Office Supplies,Supplies,Supplies Item 30,$227.39,1,0.15,$227.39
164,ORD-1164,2023-09-06,2023-09-12,First Class,CUST-178,Home Office,Central,Florida,Furniture,Bookcases,Bookcases Item 17,$412.86,6,0.2,"$2,477.16"
53,ORD-1053,2023-09-24,2023-09-27,First Class,CUST-174,Consumer,South,Pennsylvania,Technology,Accessories,Accessories Item 17,$494.51,7,0.2,"$3,461.57"
62,ORD-1062,2023-03-31,2023-04-01,Second Class,CUST-176,Home Office,East,California,Furniture,Bookcases,Bookcases Item 39,$385.17,7,0.2,"$2,696.19"
286,ORD-1286,2023-02-21,2023-02-23,Second Class,CUST-132,Consumer,East,Pennsylvania,Office Supplies,Envelopes,Envelopes Item 27,$464.13,1,0.1,$464.13
194,ORD-1194,2023-01-26,2023-01-28,Second Class,CUST-129,Home Office,East,Texas,Furniture,Bookcases,Bookcases Item 2,$288.17,5,0.1,"$1,440.85"
29,ORD-1029,2023-09-20,2023-09-27,Same Day,CUST-118,Consumer,Central,Arizona,Technology,Accessories,Accessories Item 39,$534.62,4,0.1,"$2,138.48"
70,ORD-1070,2023-12-02,2023-12-03,Standard Class,CUST-140,Corporate,East,California,Technology,Copiers,Copiers Item 12,$316.56,3,0.1,$949.68
37,ORD-1037,2023-07-13,2023-07-15,Standard Class,CUST-122,Home Office,South,Georgia,Furniture,Tables,Tables Item 41,$286.47,8,0,"$2,291.72"
41,ORD-1041,2023-06-29,2023-07-01,First Class,CUST-122,Consumer,West,Ohio,Technology,Phones,Phones Item 29,$231.28,3,0,$693.84
154,ORD-1154,2023-05-13,2023-05-17,Same Day,CUST-189,Home Office,East,Florida,Office Supplies,Labels,Labels Item 17,$301.32,6,0.1,"$1,807.92"
12,ORD-1012,2023-02-16,2023-02-20,Second Class,CUST-175,Home Office,South,New York,Technology,Accessories,Accessories Item 21,$448.46,3,0,"$1,345.38"
148,ORD-1148,2023-11-23,2023-11-27,Same Day,CUST-169,Corporate,South,Pennsylvania,Technology,Copiers,Copiers Item 46,$232.94,2,0.15,$465.88
295,ORD-1295,2023-03-17,2023-03-18,Second Class,CUST-190,Home Office,Central,Pennsylvania,Furniture,Chairs,Chairs Item 26,$53.52,5,0,$267.60
257,ORD-1257,2023-06-15,2023-06-20,Second Class,CUST-187,Consumer,Central,Arizona,Office Supplies,Paper,Paper Item 29,$162.25,3,0.1,$486.75
291,ORD-1291,2023-08-19,2023-08-23,First Class,CUST-133,Home Office,Central,Pennsylvania,Furniture,Chairs,Chairs Item 6,$431.42,7,0.3,"$3,019.94"
214,ORD-1214,2023-09-20,2023-09-25,Second Class,CUST-175,Home Office,Central,New York,Office Supplies,Envelopes,Envelopes Item 32,$471.50,7,0.15,"$3,300.50"
119,ORD-1119,2023-02-27,2023-03-01,First Class,CUST-183,Home Office,Central,Ohio,Furniture,Furnishings,Furnishings Item 31,$306.23,5,0,"$1,531.15"
99,ORD-1099,2023-11-20,2023-11-27,First Class,CUST-172,Corporate,South,Arizona,Technology,Copiers,Copiers Item 15,$493.76,4,0,"$1,975.04"
173,ORD-1173,2023-07-13,2023-07-14,First Class,CUST-157,Corporate,Central,Ohio,Technology,Phones,Phones Item 14,$232.59,3,0.2,$697.77
47,ORD-1047,2023-06-18,2023-06-22,First Class,CUST-181,Corporate,South,Illinois,Office Supplies,Storage,Storage Item 41,$294.87,7,0.15,"$2,064.09"
142,ORD-1142,2023-12-07,2023-12-10,Same Day,CUST-176,Corporate,South,Texas,Technology,Phones,Phones Item 38,$437.32,7,0,"$3,061.24"
68,ORD-1068,2023-09-10,2023-09-13,First Class,CUST-145,Consumer,West,Arizona,Technology,Accessories,Accessories Item 7,$155.83,1,0,$155.83
200,ORD-1200,2023-01-02,2023-01-08,First Class,CUST-114,Home Office,South,Texas,Furniture,Chairs,Chairs Item 46,$313.83,6,0,"$1,882.98"
218,ORD-1218,2023-05-25,2023-05-28,Standard Class,CUST-150,Consumer,East,Pennsylvania,Furniture,Chairs,Chairs Item 39,$390.65,7,0,"$2,734.55"
109,ORD-1109,2023-04-01,2023-04-08,Standard Class,CUST-104,Corporate,Central,Georgia,Office Supplies,Storage,Storage Item 36,$86.15,5,0,$430.75
211,ORD-1211,2023-10-06,2023-10-08,First Class,CUST-110,Corporate,Central,Washington,Office Supplies,Supplies,Supplies Item 26,$281.47,8,0.1,"$2,251.76"
297,ORD-1297,2023-05-31,2023-06-06,First Class,CUST-137,Consumer,South,Arizona,Furniture,Tables,Tables Item 49,$105.82,6,0,$634.92
16,ORD-1016,2023-10-15,2023-10-19,Second Class,CUST-126,Consumer,West,New York,Furniture,Furnishings,Furnishings Item 46,$252.85,6,0,"$1,517.10"
114,ORD-1114,2023-08-21,2023-08-24,First Class,CUST-107,Home Office,East,Pennsylvania,Technology,Copiers,Copiers Item 18,$14.39,6,0,$86.34
8,ORD-1008,2023-10-31,2023-11-02,First Class,CUST-100,Home Office,East,Pennsylvania,Technology,Phones,Phones Item 34,$389.02,3,0.2,"$1,167.06"
271,ORD-1271,2023-02-08,2023-02-14,First Class,CUST-153,Consumer,West,Arizona,Furniture,Chairs,Chairs Item 16,$100.64,3,0.15,$301.92
147,ORD-1147,2023-06-15,2023-06-19,First Class,CUST-163,Consumer,Central,Florida,Furniture,Bookcases,Bookcases Item 48,$204.02,6,0.2,"$1,224.12"
217,ORD-1217,2023-02-11,2023-02-17,Same Day,CUST-185,Home Office,Central,Washington,Technology,Accessories,Accessories Item 6,$526.00,7,0,"$3,682.00"
208,ORD-1208,2023-07-05,2023-07-11,First Class,CUST-159,Corporate,East,Ohio,Office Supplies,Paper,Paper Item 48,$193.95,1,0,$193.95
9,ORD-1009,2023-07-04,2023-07-08,Same Day,CUST-113,Consumer,West,New York,Technology,Copiers,Copiers Item 34,$261.22,7,0.1,"$1,828.54"
28,ORD-1028,2023-01-02,2023-01-09,First Class,CUST-123,Consumer,West,Texas,Technology,Copiers,Copiers Item 42,$87.69,6,0,$526.14
274,ORD-1274,2023-08-05,2023-08-12,Standard Class,CUST-152,Home Office,West,Georgia,Technology,Phones,Phones Item 11,$364.35,2,0.2,$728.70
59,ORD-1059,2023-10-11,2023-10-17,Same Day,CUST-110,Corporate,East,Texas,Office Supplies,Storage,Storage Item 34,$358.97,5,0,"$1,794.85"
203,ORD-1203,2023-12-03,2023-12-09,Standard Class,CUST-152,Corporate,South,Arizona,Technology,Phones,Phones Item 45,$286.47,4,0.15,"$1,145.86"
161,ORD-1161,2023-06-15,2023-06-16,Second Class,CUST-179,Corporate,West,California,Furniture,Furnishings,Furnishings Item 22,$305.49,2,0.1,$610.98
235,ORD-1235,2023-12-29,2024-01-04,Same Day,CUST-172,Home Office,East,New York,Furniture,Chairs,Chairs Item 24,$113.51,2,0,$227.02
32,ORD-1032,2023-07-27,2023-08-03,Same Day,CUST-138,Home Office,Central,California,Technology,Phones,Phones Item 25,$365.92,3,0.3,"$1,097.76"
2,ORD-1002,2023-07-07,2023-07-08,First Class,CUST-143,Corporate,Central,California,Office Supplies,Envelopes,Envelopes Item 47,$355.55,4,0.2,"$1,422.20"
289,ORD-1289,2023-06-05,2023-06-06,Second Class,CUST-158,Consumer,Central,Florida,Furniture,Tables,Tables Item 33,$63.33,4,0,$253.32
14,ORD-1014,2023-06-30,2023-07-04,Same Day,CUST-136,Consumer,Central,Ohio,Technology,Accessories,Accessories Item 32,$201.55,5,0,"$1,007.75"
10,ORD-1010,2023-07-29,2023-08-03,Second Class,CUST-153,Consumer,South,Pennsylvania,Furniture,Bookcases,Bookcases Item 16,$20.83,3,0.1,$62.49
288,ORD-1288,2023-02-18,2023-02-19,Same Day,CUST-127,Corporate,West,Illinois,Furniture,Furnishings,Furnishings Item 23,$230.24,5,0.1,"$1,151.20"
96,ORD-1096,2023-06-05,2023-06-11,Second Class,CUST-195,Corporate,Central,Pennsylvania,Technology,Accessories,Accessories Item 21,$78.70,1,0.15,$78.70
35,ORD-1035,2023-08-31,2023-09-01,Standard Class,CUST-179,Consumer,East,New York,Office Supplies,Binders,Binders Item 12,$293.80,7,0.15,"$2,056.60"
97,ORD-1097,2023-11-09,2023-11-14,Second Class,CUST-157,Consumer,Central,New York,Furniture,Bookcases,Bookcases Item 46,$275.32,3,0,$825.96
198,ORD-1198,2023-02-18,2023-02-22,Standard Class,CUST-103,Consumer,South,Florida,Technology,Copiers,Copiers Item 50,$527.45,6,0,"$3,164.70"
293,ORD-1293,2023-09-27,2023-09-28,Standard Class,CUST-142,Home Office,South,Washington,Office Supplies,Supplies,Supplies Item 8,$187.61,1,0.3,$187.61
272,ORD-1272,2023-09-08,2023-09-09,Same Day,CUST-105,Home Office,South,Georgia,Office Supplies,Storage,Storage Item 2,$467.44,1,0,$467.44
242,ORD-1242,2023-07-04,2023-07-09,First Class,CUST-137,Home Office,East,Arizona,Office Supplies,Labels,Labels Item 46,$138.71,7,0.2,$970.97
195,ORD-1195,2023-07-31,2023-08-02,Second Class,CUST-164,Consumer,Central,Pennsylvania,Technology,Accessories,Accessories Item 31,$25.89,5,0.1,$129.45
46,ORD-1046,2023-06-08,2023-06-11,Same Day,CUST-165,Consumer,Central,Pennsylvania,Office Supplies,Storage,Storage Item 48,$504.33,7,0.1,"$3,530.31"
215,ORD-1215,2023-06-08,2023-06-13,First Class,CUST-164,Home Office,East,Pennsylvania,Furniture,Tables,Tables Item 19,$236.09,6,0.2,"$1,416.54"
33,ORD-1033,2023-12-17,2023-12-24,Standard Class,CUST-102,Corporate,South,California,Technology,Copiers,Copiers Item 32,$61.82,6,0,$370.92
78,ORD-1078,2023-12-02,2023-12-09,First Class,CUST-153,Consumer,East,Georgia,Technology,Machines,Machines Item 50,$81.31,5,0.1,$406.55
236,ORD-1236,2023-03-28,2023-03-31,Same Day,CUST-176,Consumer,East,Washington,Technology,Copiers,Copiers Item 41,$149.25,5,0,$746.25
134,ORD-1134,2023-11-01,2023-11-04,Same Day,CUST-172,Consumer,East,Texas,Office Supplies,Storage,Storage Item 11,$518.08,4,0,"$2,072.32"
145,ORD-1145,2023-09-20,2023-09-24,Standard Class,CUST-163,Corporate,South,Texas,Technology,Accessories,Accessories Item 24,$522.73,5,0,"$2,613.65"
157,ORD-1157,2023-04-22,2023-04-24,Standard Class,CUST-156,Corporate,Central,Illinois,Technology,Copiers,Copiers Item 11,$449.57,3,0.3,"$1,348.71"
64,ORD-1064,2023-10-24,2023-10-30,Same Day,CUST-118,Consumer,Central,Texas,Technology,Phones,Phones Item 36,$539.19,6,0.15,"$3,235.14"
83,ORD-1083,2023-05-16,2023-05-20,Standard Class,CUST-187,Consumer,South,California,Office Supplies,Envelopes,Envelopes Item 43,$189.96,5,0.1,$949.80
237,ORD-1237,2023-04-11,2023-04-12,Same Day,CUST-190,Corporate,Central,Arizona,Furniture,Tables,Tables Item 12,$466.28,6,0,"$2,797.68"
229,ORD-1229,2023-09-28,2023-09-30,Same Day,CUST-177,Home Office,Central,Arizona,Office Supplies,Paper,Paper Item 46,$80.47,3,0.15,$241.41
238,ORD-1238,2023-02-01,2023-02-03,First Class,CUST-161,Corporate,East,California,Furniture,Chairs,Chairs Item 11,$504.90,5,0.2,"$2,524.50"
42,ORD-1042,2023-12-04,2023-12-08,First Class,CUST-109,Consumer,East,California,Furniture,Tables,Tables Item 3,$508.96,6,0,"$3,053.76"
185,ORD-1185,2023-12-20,2023-12-24,Standard Class,CUST-144,Consumer,South,Florida,Furniture,Tables,Tables Item 28,$179.11,8,0,"$1,432.88"
165,ORD-1165,2023-03-23,2023-03-30,Standard Class,CUST-113,Corporate,East,Arizona,Furniture,Tables,Tables Item 5,$87.82,3,0.1,$263.46
110,ORD-1110,2023-01-08,2023-01-15,Same Day,CUST-100,Home Office,West,Georgia,Furniture,Chairs,Chairs Item 2,$64.40,6,0.15,$386.40
180,ORD-1180,2023-05-29,2023-05-30,Same Day,CUST-181,Home Office,East,California,Technology,Accessories,Accessories Item 41,$291.23,2,0.3,$582.46
222,ORD-1222,2023-03-05,2023-03-08,Same Day,CUST-126,Corporate,West,Texas,Office Supplies,Envelopes,Envelopes Item 22,$169.42,7,0,"$1,185.94"
122,ORD-1122,2023-06-21,2023-06-23,Standard Class,CUST-192,Consumer,West,Ohio,Furniture,Furnishings,Furnishings Item 10,$473.00,8,0.3,"$3,784.00"
